Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	VelOn	Söz-1
1	9	Sol4	G4	296	296	1	8	500	95	96	ARANAÐME 
2	9	Re5	D5	327	327	1	4	1000	95	96	.
3	9	Do5	C5	318	318	1	8	500	95	96	.
4	9	Re5	D5	327	327	1	16	250	95	96	.
5	9	Mi5	E5	336	336	1	16	250	95	96	.
6	9	Re5	D5	327	327	1	16	250	95	96	.
7	9	Do5	C5	318	318	1	16	250	95	96	.
8	9	Re5	D5	327	327	1	16	250	95	96	.
9	9	Do5	C5	318	318	1	16	250	95	96	.
10	9	Si4b1	B4b1	313	313	1	8	500	95	96	.
11	9	Sol4	G4	296	296	1	8	500	95	96	.
12	9	Do5	C5	318	318	1	4	1000	95	96	.
13	9	Si4b1	B4b1	313	313	1	8	500	95	96	.
14	9	Do5	C5	318	318	3	32	375	95	96	.
15	9	Re5	D5	327	327	1	32	125	95	96	.
16	9	Do5	C5	318	318	1	16	250	95	96	.
17	9	Si4b1	B4b1	313	313	1	16	250	95	96	.
18	9	Do5	C5	318	318	1	16	250	95	96	.
19	9	Si4b1	B4b1	313	313	1	16	250	95	96	.
20	9	La4	A4	305	305	1	8	500	95	96	.
21	9	Sol4	G4	296	296	1	8	500	95	96	.
22	9	Si4b1	B4b1	313	313	1	4	1000	95	96	.
23	9	La4	A4	305	305	1	8	500	95	96	.
24	9	La4	A4	305	305	3	16	750	95	96	.
25	9	Do5	C5	318	318	1	16	250	95	96	.
26	9	Si4b1	B4b1	313	313	1	16	250	95	96	.
27	9	La4	A4	305	305	1	16	250	95	96	.
28	9	Sol4	G4	296	296	2	8	1000	95	96	.
29	9	Mi5	E5	336	336	1	8	500	95	96	.
30	9	Re5	D5	327	327	1	8	500	95	96	.
31	9	Do5	C5	318	318	1	8	500	95	96	.
32	9	Si4b1	B4b1	313	313	1	24	167	95	96	.
33	9	La4	A4	305	305	1	24	167	95	96	.
34	9	Si4b1	B4b1	313	313	1	24	167	95	96	.
35	9	Do5	C5	318	318	1	24	167	95	96	.
36	9	Si4b1	B4b1	313	313	1	24	167	95	96	.
37	9	La4	A4	305	305	1	24	167	95	96	.
38	9	Sol4	G4	296	296	1	4	1000	95	96	.
39	9	Sol4	G4	296	296	1	8	500	95	96	ARANAÐME 
40	9	Re5	D5	327	327	1	4	1000	95	96	.
41	9	Do5	C5	318	318	1	8	500	95	96	.
42	9	Re5	D5	327	327	1	16	250	95	96	.
43	9	Mi5	E5	336	336	1	16	250	95	96	.
44	9	Re5	D5	327	327	1	16	250	95	96	.
45	9	Do5	C5	318	318	1	16	250	95	96	.
46	9	Re5	D5	327	327	1	16	250	95	96	.
47	9	Do5	C5	318	318	1	16	250	95	96	.
48	9	Si4b1	B4b1	313	313	1	8	500	95	96	.
49	9	Sol4	G4	296	296	1	8	500	95	96	.
50	9	Do5	C5	318	318	1	4	1000	95	96	.
51	9	Si4b1	B4b1	313	313	1	8	500	95	96	.
52	9	Do5	C5	318	318	3	32	375	95	96	.
53	9	Re5	D5	327	327	1	32	125	95	96	.
54	9	Do5	C5	318	318	1	16	250	95	96	.
55	9	Si4b1	B4b1	313	313	1	16	250	95	96	.
56	9	Do5	C5	318	318	1	16	250	95	96	.
57	9	Si4b1	B4b1	313	313	1	16	250	95	96	.
58	9	La4	A4	305	305	1	8	500	95	96	.
59	9	Sol4	G4	296	296	1	8	500	95	96	.
60	9	Si4b1	B4b1	313	313	1	4	1000	95	96	.
61	9	La4	A4	305	305	1	8	500	95	96	.
62	9	La4	A4	305	305	3	16	750	95	96	.
63	9	Do5	C5	318	318	1	16	250	95	96	.
64	9	Si4b1	B4b1	313	313	1	16	250	95	96	.
65	9	La4	A4	305	305	1	16	250	95	96	.
66	9	Sol4	G4	296	296	2	8	1000	95	96	.
67	9	La4	A4	305	305	1	4	1000	95	96	.
68	9	Sol4	G4	296	296	1	8	500	95	96	.
69	9	La4	A4	305	305	1	16	250	95	96	.
70	9	Do5	C5	318	318	1	16	250	95	96	.
71	9	Si4b1	B4b1	313	313	1	16	250	95	96	.
72	9	La4	A4	305	305	1	16	250	95	96	.
73	9	Sol4	G4	296	296	1	16	250	95	96	.
74	9	Fa4#4	F4#4	291	291	1	16	250	95	96	.
75	9	Sol4	G4	296	296	1	8	500	95	96	.
76	9	Sol4	G4	296	296	1	4	1000	95	96	Sev
77	9	Do5	C5	318	318	1	4	1000	95	96	dim 
78	9	Do5	C5	318	318	1	16	250	99	96	se
79	9	Si4b1	B4b1	313	313	1	16	250	95	96	
80	9	La4	A4	305	305	1	4	1000	99	96	ni 
81	9	Si4b1	B4b1	313	313	1	16	250	99	96	
82	9	Do5	C5	318	318	1	16	250	95	96	
83	9	Si4b1	B4b1	313	313	1	16	250	99	96	di
84	9	La4	A4	305	305	1	16	250	95	96	
85	9	Sol4	G4	296	296	8	8	4000	95	96	ye 
86	9	Do5	C5	318	318	1	4	1000	95	96	çek
87	9	Re5	D5	327	327	1	8	500	95	96	ti
88	9	Re5	D5	327	327	1	4	1000	99	96	ðim 
89	9	Do5	C5	318	318	1	8	500	95	96	
90	9	Do5	C5	318	318	1	16	250	99	96	ne
91	9	Si4b1	B4b1	313	313	1	16	250	95	96	
92	9	Si4b1	B4b1	313	313	1	2	2000	99	96	dir 
93	9	Si4b1	B4b1	313	313	1	16	250	99	96	
94	9	La4	A4	305	305	1	16	250	99	96	
95	9	Si4b1	B4b1	313	313	1	16	250	99	96	
96	9	Do5	C5	318	318	1	16	250	99	96	
97	9	La4	A4	305	305	3	8	1500	95	96	
98	9	La4	A4	305	305	1	4	1000	95	96	çek
99	9	Do5	C5	318	318	1	8	500	95	96	ti
100	9	Si4b1	B4b1	313	313	3	16	750	99	96	ðim 
101	9	La4	A4	305	305	1	16	250	99	96	
102	9	La4	A4	305	305	1	16	250	99	96	
103	9	Si4b1	B4b1	313	313	1	16	250	95	96	
104	9	La4	A4	305	305	1	16	250	99	96	ne
105	9	Sol4	G4	296	296	1	16	250	95	96	
106	9	Sol4	G4	296	296	3	8	1500	95	96	dir  
107	9	La4	A4	305	305	1	16	250	95	96	SAZ 
108	9	Si4b1	B4b1	313	313	1	16	250	95	96	.
109	9	Do5	C5	318	318	3	32	375	95	96	.
110	9	Si4b1	B4b1	313	313	1	32	125	95	96	.
111	9	La4	A4	305	305	1	16	250	95	96	.
112	9	Si4b1	B4b1	313	313	1	16	250	95	96	.
113	9	Sol4	G4	296	296	1	4	1000	95	96	.
114	9	Sol4	G4	296	296	1	4	1000	95	96	Sev
115	9	Do5	C5	318	318	1	4	1000	95	96	dim 
116	9	Do5	C5	318	318	1	16	250	99	96	se
117	9	Si4b1	B4b1	313	313	1	16	250	95	96	
118	9	La4	A4	305	305	1	4	1000	99	96	ni 
119	9	Si4b1	B4b1	313	313	1	16	250	99	96	
120	9	Do5	C5	318	318	1	16	250	95	96	
121	9	Si4b1	B4b1	313	313	1	16	250	99	96	di
122	9	La4	A4	305	305	1	16	250	95	96	
123	9	Sol4	G4	296	296	8	8	4000	95	96	ye 
124	9	Do5	C5	318	318	1	4	1000	95	96	çek
125	9	Re5	D5	327	327	1	8	500	95	96	ti
126	9	Re5	D5	327	327	1	4	1000	99	96	ðim 
127	9	Do5	C5	318	318	1	8	500	95	96	
128	9	Do5	C5	318	318	1	16	250	99	96	ne
129	9	Si4b1	B4b1	313	313	1	16	250	95	96	
130	9	Si4b1	B4b1	313	313	1	2	2000	99	96	dir 
131	9	Si4b1	B4b1	313	313	1	16	250	99	96	
132	9	La4	A4	305	305	1	16	250	99	96	
133	9	Si4b1	B4b1	313	313	1	16	250	99	96	
134	9	Do5	C5	318	318	1	16	250	99	96	
135	9	La4	A4	305	305	3	8	1500	95	96	
136	9	La4	A4	305	305	1	4	1000	95	96	çek
137	9	Do5	C5	318	318	1	8	500	95	96	ti
138	9	Si4b1	B4b1	313	313	3	16	750	99	96	ðim 
139	9	La4	A4	305	305	1	16	250	99	96	
140	9	La4	A4	305	305	1	16	250	99	96	
141	9	Si4b1	B4b1	313	313	1	16	250	95	96	
142	9	La4	A4	305	305	1	16	250	99	96	ne
143	9	Sol4	G4	296	296	1	16	250	95	96	
144	9	Sol4	G4	296	296	3	8	1500	95	96	dir  
145	9	La4	A4	305	305	1	16	250	95	96	SAZ 
146	9	Si4b1	B4b1	313	313	1	16	250	95	96	.
147	9	Do5	C5	318	318	3	32	375	95	96	.
148	9	Si4b1	B4b1	313	313	1	32	125	95	96	.
149	9	La4	A4	305	305	1	16	250	95	96	.
150	9	Si4b1	B4b1	313	313	1	16	250	95	96	.
151	9	Re5	D5	327	327	3	8	1500	95	96	.
152	9	Do5	C5	318	318	1	4	1000	95	96	Ver
153	9	Re5	D5	327	327	1	8	500	95	96	di
154	9	Mi5	E5	336	336	1	8	500	99	96	ðin 
155	9	Re5	D5	327	327	1	16	250	99	96	
156	9	Mi5	E5	336	336	1	16	250	95	96	
157	9	Re5	D5	327	327	1	16	250	99	96	ýs
158	9	Do5	C5	318	318	1	16	250	99	96	
159	9	Si4b1	B4b1	313	313	1	8	500	95	96	
160	9	Do5	C5	318	318	1	16	250	99	96	tý
161	9	Si4b1	B4b1	313	313	1	16	250	95	96	
